Step 0 | loss:1.702962875366211 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:1.8737925291061401 lr:0.0 gpu_resources:16737380352
Step 0 | peak_memory_active:17.18473728 peak_memory_alloc:17.18473728 peak_memory_reserved:19.49302784
Step 0 | loss:2.1681578159332275 lr:0.0 gpu_resources:16681822208
Step 0 | peak_memory_active:17.079928832 peak_memory_alloc:17.079928832 peak_memory_reserved:19.49302784
Step 0 | loss:2.0834856033325195 lr:0.0 gpu_resources:16825224192
Step 0 | peak_memory_active:17.349010432 peak_memory_alloc:17.349010432 peak_memory_reserved:19.49302784
Step 0 | loss:2.078054189682007 lr:0.0 gpu_resources:16756321280
Step 1 | loss:2.7355732917785645 lr:2.9999999999999997e-06 gpu_resources:16731043840
Step 1 | loss:2.3266851902008057 lr:2.9999999999999997e-06 gpu_resources:16700049408
Step 1 | loss:2.25223708152771 lr:2.9999999999999997e-06 gpu_resources:16663204352
Step 1 | loss:1.6770820617675781 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:1.932726263999939 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.527531623840332 lr:2.9999999999999997e-06 gpu_resources:16570400256
Step 1 | loss:1.7179099321365356 lr:2.9999999999999997e-06 gpu_resources:16778767360
Step 1 | loss:1.5504382848739624 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:1.8237148523330688 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.6668331623077393 lr:2.9999999999999997e-06 gpu_resources:16632599040
Step 1 | loss:2.6549489498138428 lr:2.9999999999999997e-06 gpu_resources:16666681856
Step 1 | loss:3.153599977493286 lr:2.9999999999999997e-06 gpu_resources:16489838592
Step 1 | loss:2.124575614929199 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.292530059814453 lr:2.9999999999999997e-06 gpu_resources:16776403968
Step 1 | loss:1.7776827812194824 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.018749237060547 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.1276259422302246 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.3476057052612305 lr:2.9999999999999997e-06 gpu_resources:16646070784
Step 1 | loss:2.247790813446045 lr:2.9999999999999997e-06 gpu_resources:16648434176
Step 1 | loss:2.288834810256958 lr:2.9999999999999997e-06 gpu_resources:16732235776
Step 1 | loss:2.8677353858947754 lr:2.9999999999999997e-06 gpu_resources:16503875584
Step 1 | loss:3.5835113525390625 lr:2.9999999999999997e-06 gpu_resources:16449243136
Step 1 | loss:1.9234788417816162 lr:2.9999999999999997e-06 gpu_resources:16831634432
Step 1 | loss:1.9865336418151855 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:1.8274195194244385 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:1.8075239658355713 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.2051961421966553 lr:2.9999999999999997e-06 gpu_resources:16796380160
Step 1 | loss:2.4065017700195312 lr:2.9999999999999997e-06 gpu_resources:16653160960
Step 1 | loss:3.194455862045288 lr:2.9999999999999997e-06 gpu_resources:16544525824
Step 1 | loss:1.8481335639953613 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.0423502922058105 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.228788137435913 lr:2.9999999999999997e-06 gpu_resources:16778767360
Step 1 | loss:1.94353449344635 lr:2.9999999999999997e-06 gpu_resources:16789486592
Step 1 | loss:2.0825114250183105 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:1.5792124271392822 lr:2.9999999999999997e-06 gpu_resources:16823491584
Step 1 | loss:2.4658703804016113 lr:2.9999999999999997e-06 gpu_resources:16623899136
Step 1 | loss:2.4247615337371826 lr:2.9999999999999997e-06 gpu_resources:16660578816
Step 1 | loss:2.0788116455078125 lr:2.9999999999999997e-06 gpu_resources:16746317824
Step 1 | loss:1.959889531135559 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:1.8228275775909424 lr:2.9999999999999997e-06 gpu_resources:16794082304
Step 1 | loss:2.313147783279419 lr:2.9999999999999997e-06 gpu_resources:16716134400
Step 1 | loss:2.32938289642334 lr:2.9999999999999997e-06 gpu_resources:16798678016
Step 1 | loss:2.092238187789917 lr:2.9999999999999997e-06 gpu_resources:16709863424
Step 1 | loss:2.120150566101074 lr:2.9999999999999997e-06 gpu_resources:16803273728
Step 1 | loss:2.1402029991149902 lr:2.9999999999999997e-06 gpu_resources:16730544128
Step 1 | loss:2.233996868133545 lr:2.9999999999999997e-06 gpu_resources:16688558592
Step 1 | loss:2.2670764923095703 lr:2.9999999999999997e-06 gpu_resources:16627511808
Step 1 | loss:2.036398410797119 lr:2.9999999999999997e-06 gpu_resources:16748783616
Step 1 | loss:1.971484899520874 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.527322769165039 lr:2.9999999999999997e-06 gpu_resources:16786828288
Step 1 | loss:1.7369756698608398 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:2.019636392593384 lr:2.9999999999999997e-06 gpu_resources:16822098944
Step 1 | loss:2.297159194946289 lr:2.9999999999999997e-06 gpu_resources:16714426368
Step 1 | loss:2.463665246963501 lr:2.9999999999999997e-06 gpu_resources:16700049408
Step 1 | loss:2.2884931564331055 lr:2.9999999999999997e-06 gpu_resources:16695453696
Step 1 | loss:1.9369289875030518 lr:2.9999999999999997e-06 gpu_resources:16746317824
Step 1 | loss:1.7352555990219116 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:1.9531464576721191 lr:2.9999999999999997e-06 gpu_resources:16650404352
Step 1 | loss:2.3693935871124268 lr:2.9999999999999997e-06 gpu_resources:16559814144
Step 1 | loss:2.2162506580352783 lr:2.9999999999999997e-06 gpu_resources:16623899136
Step 1 | loss:2.9370224475860596 lr:2.9999999999999997e-06 gpu_resources:16519929344
Step 1 | loss:3.0796427726745605 lr:2.9999999999999997e-06 gpu_resources:16514313728
Step 1 | loss:1.9922921657562256 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 1 | loss:1.8113534450531006 lr:2.9999999999999997e-06 gpu_resources:16838855680
Step 2 | loss:2.058623790740967 lr:5.999999999999999e-06 gpu_resources:16819078144
Step 2 | loss:2.431274890899658 lr:5.999999999999999e-06 gpu_resources:16652947968
Step 2 | loss:1.7626160383224487 lr:5.999999999999999e-06 gpu_resources:16838855680
Step 2 | loss:1.776950478553772 lr:5.999999999999999e-06 gpu_resources:16838855680
Step 2 | loss:2.1315770149230957 lr:5.999999999999999e-06 gpu_resources:16751011840
Step 2 | loss:2.0813939571380615 lr:5.999999999999999e-06 gpu_resources:16805571584
Step 2 | loss:2.0450944900512695 lr:5.999999999999999e-06 gpu_resources:16838855680
Step 2 | loss:2.624513626098633 lr:5.999999999999999e-06 gpu_resources:16690857472
Step 2 | loss:2.0484297275543213 lr:5.999999999999999e-06 gpu_resources:16789142528
Step 2 | loss:1.9707928895950317 lr:5.999999999999999e-06 gpu_resources:16835767296
Step 2 | loss:2.2028050422668457 lr:5.999999999999999e-06 gpu_resources:16666681856
Step 2 | loss:2.525470495223999 lr:5.999999999999999e-06 gpu_resources:16564448768
Step 2 | loss:2.2272634506225586 lr:5.999999999999999e-06 gpu_resources:16705595392
Step 2 | loss:2.8849804401397705 lr:5.999999999999999e-06 gpu_resources:16695453696
Step 2 | loss:2.16738224029541 lr:5.999999999999999e-06 gpu_resources:16769952768
Step 2 | loss:2.1758224964141846 lr:5.999999999999999e-06 gpu_resources:16735610880
Step 2 | loss:1.7622501850128174 lr:5.999999999999999e-06 gpu_resources:16838855680
Step 2 | loss:1.9130604267120361 lr:5.999999999999999e-06 gpu_resources:16774040576
